AUTONOMIA#PESO#VALOR#NUM_OPERACIONES
ANDALUCIA#19.697.394.987#14.477.561.072,93#594.694
ARAGON#3.238.277.530#7.100.359.337,90#714.563
ASTURIAS#3.547.809.506#2.573.414.534,77#46.836
BALEARES#471.530.794#1.193.436.789,58#63.592
CANARIAS#2.910.032.651#1.542.721.360,57#177.733
CANTABRIA#2.449.450.610#1.832.383.718,14#72.707
CASTILLA LA MANCHA#2.311.961.544#2.953.670.379,54#180.299
CASTILLA LEON#4.240.441.965#9.360.193.392,97#160.698
CATALUÑA#23.318.606.427#41.460.903.863,41#4.039.537
CIUDAD AUTONOMA DE CEUTA#97.889#174.534,04#26
CIUDAD AUTONOMA DE MELILLA#1.327.549#6.785.103,83#157
COMUNIDAD VALENCIANA#16.090.815.036#16.962.166.630,89#1.137.904
EXTREMADURA#1.767.943.824#1.171.390.884,53#48.234
GALICIA#9.118.728.065#13.957.317.870,87#1.233.923
LA RIOJA#466.481.145#1.126.054.422,67#56.565
MADRID#7.929.776.429#18.997.387.179,00#1.501.667
MURCIA#4.080.550.511#4.367.759.710,79#201.862
NAVARRA#2.836.006.669#5.477.912.470,35#118.165
PAIS VASCO#11.883.297.654#14.942.237.357,90#504.069
SIN DETERMINAR#661.324.519#385.719.561,72#32.280
Total#117.021.855.305#159.889.550.176,37#10.885.511
