AUTONOMIA#PESO#VALOR#NUM_OPERACIONES
ANDALUCIA#43.734.468.408#18.073.077.187,64#766.247
ARAGON#3.704.049.352#6.136.124.901,56#420.488
ASTURIAS#14.098.261.511#2.864.645.723,65#129.549
BALEARES#2.381.733.349#1.155.977.577,39#165.684
CANARIAS#7.277.039.721#3.674.428.235,06#327.446
CANTABRIA#2.425.703.294#1.510.951.681,51#76.019
CASTILLA LA MANCHA#1.507.511.008#4.748.552.500,55#279.098
CASTILLA LEON#3.982.600.400#7.860.785.036,93#256.220
CATALUNYA#53.129.966.685#57.456.240.829,14#3.636.617
CIUDAD AUTONOMA DE CEUTA#433.781.348#234.121.605,42#16.734
CIUDAD AUTONOMA DE MELILLA#433.339.335#140.280.065,93#23.837
COMUNIDAD VALENCIANA#19.983.450.564#16.253.905.285,85#846.051
EXTREMADURA#1.331.877.983#919.985.343,18#50.678
GALICIA#22.673.316.354#13.164.248.790,94#391.990
LA RIOJA#521.628.886#791.140.659,72#46.809
MADRID#16.886.309.125#47.370.128.805,87#2.329.956
MURCIA#17.319.304.281#6.433.265.768,35#163.468
NAVARRA#1.855.070.198#3.569.925.818,79#133.367
PAIS VASCO#21.838.175.342#12.294.151.627,52#545.873
SIN DETERMINAR#430.549.993#1.464.237.072,90#90.354
Total#235.948.137.139#206.116.174.517,91#10.696.485
