nombre#Comunidad#Población (hab)#PIB (€)#Ranking PIB#PIB pc (€)#Ranking PIB pc#Superficie (km2)#Densidad (hab/km2)#Presidente#Partido
ANDALUCIA#Andalucía#8.302.923#142.994.677.000,00 €#3#17.222,21 €#17#87.597,71#94,78#Manuel María Chaves González/Gaspar Carlos Zarrías Arévalo/José Antonio Griñán Martínez#PSOE
ARAGON#Aragón#1.345.473#32.497.506.000,00 €#10#24.153,22 €#6#47.720,25#28,20#Marcelino Iglesias Ricou#PSOE
ASTURIAS#Asturias, Principado de#1.085.289#22.725.577.000,00 €#13#20.939,65 €#10#10.603,57#102,35#Vicente Álvarez Areces#PSOE
BALEARES#Baleares#1.095.426#26.404.893.000,00 €#12#24.104,68 €#7#4.991,66#219,45#Francesc Antich Oliver#PSOE
CANARIAS#Canarias #2.103.992#41.258.418.000,00 €#8#19.609,59 €#15#7.446,95#282,53#Paulino Rivero Baute#CC (Coalición Canaria)
CANTABRIA#Cantabria #589.235#13.346.291.000,00 €#16#22.650,20 €#8#5.321,34#110,73#Miguel Ángel Revilla Roiz#PRC (Partido Regionalista de Cantabria)
CASTILLA LA MANCHA#Castilla - La Mancha #2.081.313#35.784.888.000,00 €#9#17.193,42 €#18#79.461,97#26,19#José María Barreda Fontes#PSOE
CASTILLA LEON#Castilla y León#2.563.521#56.388.618.000,00 €#6#21.996,55 €#9#94.225,96#27,21#Juan Vicente Herrera Campo#PP
CATALUNYA#Cataluña#7.475.420#195.644.827.000,00 €#1#26.171,75 €#4#32.113,41#232,78#José Montilla Aguilera#PSC/PSOE
CIUDAD AUTONOMA DE CEUTA#Ceuta#78.674#1.629.224.000,00 €#18#20.708,54 €#11#19,48#4.038,71#Juan Jesús Vivas Lara#PP
COMUNIDAD VALENCIANA#Comunidad Valenciana#5.094.675#101.793.151.000,00 €#4#19.980,30 €#13#23.254,52#219,08#Francisco Enrique Camps Ortiz#PP
EXTREMADURA#Extremadura #1.102.410#17.922.048.000,00 €#15#16.257,15 €#19#41.581,98#26,51#Guillermo Fernández Vara#PSOE
GALICIA#Galicia #2.796.089#54.857.447.000,00 €#7#19.619,35 €#14#29.574,38#94,54#Emilio Pérez Touriño
Alberto Núñez Feijóo#PSOE
PP
MADRID#Comunidad de Madrid#6.386.932#189.782.158.000,00 €#2#29.714,13 €#2#8.027,69#795,61#Esperanza Aguirre Gil de Biedma#PP
CIUDAD AUTONOMA DE MELILLA#Melilla#73.460#1.509.415.000,00 €#19#20.547,44 €#12#13,41#5.478,00#Juan José Imbroda Ortiz#UPM (Unión del Pueblo Melillense)/PP
MURCIA#Región de Murcia#1.446.520#27.182.448.000,00 €#11#18.791,62 €#16#11.313,11#127,86#Ramón Luis Valcárcel Siso#PP
NAVARRA#Navarra#630.578#18.183.172.000,00 €#14#28.835,72 €#3#10.390,36#60,69#Miguel Sanz Sesma#UPN (Unión del Pueblo Navarro)
PAIS VASCO#País Vasco#2.172.175#65.454.740.000,00 €#5#30.133,27 €#1#7.235,13#300,23#Juan José Ibarretxe Markuatu
Patxi López Álvarez#PNV (Partido Nacionalista Vasco)
PSE/PSOE
LA RIOJA#La Rioja#321.702#7.843.401.000,00 €#17#24.380,95 €#5#5.045,25#63,76#Pedro María Sanz Alonso#PP
Total#Total#46.745.807#1.053.202.899.000,00 €##22.530,43 €##505.938,13#92,39#José Luis Rodríguez Zapatero#PSOE
